key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
1,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1790-09-24,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",488,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
2,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1790-11-25,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",489,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
3,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-02-08,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",490f.,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
4,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-04-30,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",491,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
5,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-05-30,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",492,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
6,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-08,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",492f.,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
7,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-10-07,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",495,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
8,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1791-12,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",496f.,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
9,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1792-03-30,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",498,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
10,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1792-06-13,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",499,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
11,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1792-08,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",500,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
12,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1793-01-04,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",501,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
13,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1793-02-15,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",502,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
14,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1793-04-30,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",504,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
15,Johanna Maria Bach,117764523,Hamburg,http://www.geonames.org/2911298,1793-07-12,Johann Jacob Heinrich Westphal,119105063,Schwerin,http://www.geonames.org/2834282,,,"Schmid, Manfred Hermann, 1990: Das Geschäft mit dem Nachlaß von C. Ph. E. Bach. In: Hans Joachim Marx, Hrsg. Carl Philipp Emanuel Bach und die europäische Musikkultur des mittleren 18. Jahrhunderts. Göttingen, Vandenhoeck und Ruprecht, S. 475–528. ISBN 3-525-27810-1",505,D-LEb H.O.W.,,"J. J. H. Westphal – Wilhelm Heyer – Auktion Berlin 1928 – Ernst Fritz Schmid – Lotte Schmid – Manfred Hermann Schmid – Leipzig, Bach-Archiv",
