key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
1,Carl Philipp Emanuel Bach,118505505,Leipzig,http://www.geonames.org/2879139,1733-08-19,Rat der Stadt Naumburg,4041445-0,Naumburg,http://www.geonames.org/2866906,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
2,,,Leipzig,http://www.geonames.org/2879139,1734-01-20,Bach: Albumblatt,,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
3,,,Hamburg,http://www.geonames.org/2911298,1751-06-15,Mattheson: Auszug aus seiner Autobiographie,,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
4,Johann Wilhelm Ludwig Gleim,118717758,Halberstadt,http://www.geonames.org/2911665,1751-08-29,Johann Peter Uz,118625756,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
5,Karl Wilhelm Ramler,119059614,Berlin,http://www.geonames.org/2950159,1753-10-28,Johann Wilhelm Ludwig Gleim,118717758,Halberstadt,http://www.geonames.org/2911665,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
6,Bentz für den Stadtrat von Zittau,,Zittau,http://www.geonames.org/2804008,[1753-11-05..],Carl Philipp Emanuel Bach,118505505,Berlin,http://www.geonames.org/2950159,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
7,Carl Philipp Emanuel Bach,118505505,Potsdam,http://www.geonames.org/2852458,1753-11?,Rat der Stadt Zittau,4067897-0,Zittau,http://www.geonames.org/2804008,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
8,Carl Philipp Emanuel Bach,118505505,Berlin,http://www.geonames.org/2950159,[..1753-12-17],Rat der Stadt Zittau,4067897-0,Zittau,http://www.geonames.org/2804008,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
9,Bentz für den Stadtrat von Zittau,,Zittau,http://www.geonames.org/2804008,[1753-12-21..],Carl Philipp Emanuel Bach,118505505,Berlin,http://www.geonames.org/2950159,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
10,Johann Wilhelm Ludwig Gleim,118717758,Halberstadt,http://www.geonames.org/2911665,1754-01-30,Johann Peter Uz,118625756,,,,,"Suchalla, Ernst, Hrsg., 1994. Carl Philipp Emanuel Bach: Briefe und Dokumente: Kritische Gesamtausgabe. Göttingen: Vandenhoeck und Ruprecht. ISBN 3-525-86271-7",,,,,
