key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,note,edition,page,source,sourceID,provenance,extent
1,Johann Elias Bach,116216026,,,1738-04?,Johann Georg Hotz,122107020,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",83-84,D-LEb,,,51-53
2,Johann Elias Bach,116216026,,,1738-04?,Kilian Elias Metzger,115612297,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",84-86,D-LEb,,,53-55/57
3,Johann Elias Bach,116216026,,,1738-04?,Johann Englert,1014023939,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",86-87,D-LEb,,,59-60
4,Johann Elias Bach,116216026,,,1738-04?,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",87,D-LEb,,,60-61
5,Johann Elias Bach,116216026,,,1738-04-29,Johann Philipp Raßdörffer,133601145,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",88-89,D-LEb,,,63-65
6,Johann Elias Bach,116216026,,,1738-04-29,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",89-90,D-LEb,,,65-67
7,Johann Elias Bach,116216026,,,1738-04?,Anna Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",91-92,D-LEb,,,68-70
8,Johann Elias Bach,116216026,,,1738-08-01,Johann Heinrich von Meyern,136779751,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",93,D-LEb,,,72
9,Johann Elias Bach,116216026,,,1738-10-06,Anna Sibylla Bach; Catharina Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",94-95,D-LEb,,,13-14
10,Johann Elias Bach,116216026,,,1738-10-06,Johann Philipp Raßdörffer,133601145,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",95,D-LEb,,,16
11,Johann Elias Bach,116216026,,,1738-10-06,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",96,D-LEb,,,17-18
12,Johann Elias Bach,116216026,,,1738-11-21,Anna Sibylla Bach; Catharina Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",97-98,D-LEb,,,23-24
13,Johann Elias Bach,116216026,,,1739-01-10,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",99-100,D-LEb,,,28-29
14,Johann Elias Bach,116216026,,,1739-01-24,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",100-101,D-LEb,,,30
15,Johann Elias Bach,116216026,,,1739-02-12,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",101-102,D-LEb,,,33-34
16,Johann Elias Bach,116216026,,,1739-03-03,Friedrich Benedict Pfenning,1052866573,Jena,http://www.geonames.org/2895044,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",102-103,D-LEb,,,34-35
17,Johann Elias Bach,116216026,,,1739-03-03,Jacob Samuel Schröer,121201082,Wildenhain,http://www.geonames.org/2808946,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",104,D-LEb,,,36
18,Johann Elias Bach,116216026,,,1739-03-07,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",104-105,D-LEb,,,37
19,Johann Elias Bach,116216026,,,1739-03-14,Johann Englert,1014023939,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",105-106,D-LEb,,,38-39
20,Johann Elias Bach,116216026,,,1739-03-14,Marie Eleonore Höflich,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",107,D-LEb,,,39-40
21,Johann Elias Bach,116216026,,,1739-03-14,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",107-108,D-LEb,,,40
22,Johann Elias Bach,116216026,,,1739-03-21,Jacob Samuel Schröer,121201082,Wildenhain,http://www.geonames.org/2808946,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",108,D-LEb,,,40-41
23,Johann Elias Bach,116216026,,,1739-04-21,Anna Sibylla Bach; Catharina Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",108-109,D-LEb,,,44
24,Johann Elias Bach,116216026,,,1739-04-21,Wolfgang Christoph Limpach,1147411379,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",109-110,D-LEb,,,46-47
25,Johann Elias Bach,116216026,,,1739-04-21,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",111,D-LEb,,,47
26,Johann Elias Bach,116216026,,,1739-04-21,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",111-112,D-LEb,,,48
27,Johann Elias Bach,116216026,,,1739-05-01,Jacob Samuel Schröer,121201082,Wildenhain,http://www.geonames.org/2808946,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",112-113,D-LEb,,,48-49
28,Johann Elias Bach,116216026,,,1739-06-01,Wolfgang Christoph Limpach,1147411379,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",113-114,D-LEb,,,49-50
29,Johann Elias Bach,116216026,,,1739-06-26,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",114-115,D-LEb,,,265-267
30,Johann Elias Bach,116216026,,,1739-08-01,Jacob Samuel Schröer,121201082,Wildenhain,http://www.geonames.org/2808946,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",115-116,D-LEb,,,268
31,Johann Elias Bach,116216026,,,1739-08-11,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",1156-117,D-LEb,,,269-270
32,Johann Elias Bach,116216026,,,1739-09-11,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",117-118,D-LEb,,,272-273
33,Johann Elias Bach,116216026,,,1739-09-28,Johann Wilhelm Koch,13390637X,Ronneburg,http://www.geonames.org/2845229,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",118-119,D-LEb,,,274-275
34,Johann Elias Bach,116216026,,,1739-10-05,Sabina Magdalena Hacker,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",119-120,D-LEb,,,281-282
35,Johann Elias Bach,116216026,,,1739-10-06,Friedrich Adam Segnitz,120257726,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",120-121,D-LEb,,,277-280
36,Johann Elias Bach,116216026,,,1739-10-06,Anna Sibylla Bach; Catharina Margaretha Bach,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",122-123,D-LEb,,,279-280
37,Johann Elias Bach,116216026,,,1739-10-06,Johann Andreas Schüßler,,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",123-124,D-LEb,,,283-284
38,Johann Elias Bach,116216026,,,1739-11-02,Wolfgang Christoph Limpach,1147411379,Schweinfurt,http://www.geonames.org/2834498,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",125-126,D-LEb,,,286-287
39,Johann Elias Bach,116216026,,,1739-11-06,Johann Leberecht Schneider,,Weißenfels,http://www.geonames.org/2811899,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",126-127,D-LEb,,,288-289
40,Johann Elias Bach,116216026,,,1739-11-07,Johann Leberecht Schneider,,Weißenfels,http://www.geonames.org/2811899,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",127-128,D-LEb,,,289-291
41,Johann Elias Bach,116216026,,,1739-11-14,Johann Leberecht Schneider,,Weißenfels,http://www.geonames.org/2811899,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",128-129,D-LEb,,,291
42,Johann Elias Bach,116216026,,,1739-12-26,Johann Stängel,104223596,Roßleben,http://www.geonames.org/2844651,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",129-131,D-LEb,,,250-253
43,Johann Elias Bach,116216026,,,1740-01-03,Jacob Samuel Schröer,121201082,Wildenhain,http://www.geonames.org/2808946,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",132-133,D-LEb,,,253-254/231
44,Johann Elias Bach,116216026,,,1740-01-09,Johann Gottfried Schmiedel,1073293076,Freiberg,http://www.geonames.org/2925192,,,"Odrich, Evelin und Peter Wollny, Hrsg., 2005. Die Briefentwürfe des Johann Elias Bach. 2., erw. Auflage. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 3. ISBN 3-487-12820-9",133-134,D-LEb,,,292-293
