"key","sender","senderID","senderPlace","senderPlaceID","senderDate","addressee","addresseeID","addresseePlace","addresseePlaceID","addresseeDate","note","edition","page","source","sourceID","provenance","extent"
,"Johann Christian Bach",118505521,"Napoli","http://www.geonames.org/3172394","1757-01-18","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-04-30","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-05-21","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-06-24","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-07-30","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-08-30","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-09-06","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-10-08","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1757-10-22","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,,,"1757-11-16","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-03-22","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-04-25","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-05-05","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,,,"1758?","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-07-01","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-10-18","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1758-10-29","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-01","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-03-04","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-07-14","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-08-07","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-12-18","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1759-12-27","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1760-06-17","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1760-06-28","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1760-08-30","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1761-02-14","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1761-02-22","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1762-04-10","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"[Milano]","http://www.geonames.org/3173435","1762-05-17","Mailänder Dom",,"Milano","http://www.geonames.org/3173435",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milan","http://www.geonames.org/3173435","1762-05-29","Marie Testagrossa",,"Neapel","http://www.geonames.org/3172394",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Milano","http://www.geonames.org/3173435","1762-06-09","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/3173435","1763-07-01","Padre Martini",118731386,"[Bologna]","http://www.geonames.org/3181928",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londres","http://www.geonames.org/2643743","1764-06-26","Georg Wilhelm Kottowsky","http://viaf.org/viaf/297152742998327732708",,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1767-07-20","Contessa Zambeccari",,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1767-07-20","Luigia Angelica Landi ",,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1767-07-20","Belmonte Pignatelli",,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1767-07-20","Agostino Litta","1089409788 ",,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"London","http://www.geonames.org/2643743","1767-09-30","Carl Philipp Emanuel Bach",118505505,"[Hamburg]","http://www.geonames.org/2911298",,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"London","http://www.geonames.org/2643743","1767-09-30","Wilhelm Friedemann Bach",118505548,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Richmond","http://www.geonames.org/2639389","1770-09-26","M Tasset",,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1773-09-15","Padre Martini",118731386,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
,"Johann Christian Bach",118505521,"Londra","http://www.geonames.org/2643743","1778-07-28","Padre Martini",118731386,,,,,"Warburton, Ernest, Hrsg., 1999. Sources & documents. New York: Garland Publ. The collected works of Johann Christian Bach. 48,2. ISBN 0-8240-6097-0.",,,,,
