"key","sender","senderID","senderPlace","senderPlaceID","senderDate","addressee","addresseeID","addresseePlace","addresseePlaceID","addresseeDate","note","edition","page","source","sourceID","provenance","extent"
"I:2","Johann Sebastian Bach","11850553X","Leipzig","http://www.geonames.org/2879139","1749-12-27","Graf Wilhelm von Schaumburg-Lippe",118632949,"Bückeburg","http://www.geonames.org/2942159",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:11","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1758-05-10","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425","1758-05-15",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:14","Adam Struensee",117348120,"Altona","http://www.geonames.org/2911296","1758-10-06","Johann Hartwig Ernst von Bernstorff","11614775X","Kopenhagen","http://www.geonames.org/2618425","1758-10-09",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:15","Adam Struensee",117348120,"Altona","http://www.geonames.org/2911296","1758-10-20","Johann Hartwig Ernst von Bernstorff","11614775X","Kopenhagen","http://www.geonames.org/2618425","1758-10-23",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:16","Johann Christoph Friedrich Bach",118651471,"[Bückeburg]","http://www.geonames.org/2942159","1758-10-24~","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425","1758-10-27",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:21","Christian Friedrich Endter",132282542,"Altona","http://www.geonames.org/2911296","1758-12-05","Johann Hartwig Ernst von Bernstorff","11614775X","Kopenhagen","http://www.geonames.org/2618425","1758-12-08",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:22","Deutsche Kanzlei",,"Kopenhagen","http://www.geonames.org/2618425","1758-12-09","Kirchenvisitatoren",,"Altona","http://www.geonames.org/2911296",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:23a","Balthasar Joachim Reimers","112115042X ","Rendsburg","http://www.geonames.org/2848245","1759-01-19","Johann Hartwig Ernst von Bernstorff","11614775X","Kopenhagen","http://www.geonames.org/2618425","1759-01-23",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:23b","Balthasar Joachim Reimers","112115042X ","Rendsburg","http://www.geonames.org/2848245","1759-01-31","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425","1759-02-03",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:24","Deutsche Kanzlei",,"Kopenhagen","http://www.geonames.org/2618425","1759-02-03","Balthasar Joachim Reimers","112115042X ","Rendsburg","http://www.geonames.org/2848245",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:26","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1759-03-03","Adam Struensee",117348120,"Altona","http://www.geonames.org/2911296",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:27","Adam Struensee",117348120,"Altona","http://www.geonames.org/2911296","1759-03-06","Deutsche Kanzlei",,"Kopenhagen","http://www.geonames.org/2618425","1759-03-10",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:28","Christian Ernst Rosenbaum",128366400,,,"1759-03-09","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425","1759-03-12",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:29","Juraten der Hauptkirche von Altona",,"Altona","http://www.geonames.org/2911296","1759-03-13","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:31","Christian Friedrich Endter",132282542,"Buxtehude","http://www.geonames.org/2940451","1759-03-24","König Friedrich V.","11954931X","Kopenhagen","http://www.geonames.org/2618425","1759-03-26",,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
"I:32","Johann Christoph Friedrich Bach",118651471,"Bückeburg","http://www.geonames.org/2942159","1759-05-24","Graf Wilhelm von Schaumburg-Lippe",118632949,"Bückeburg","http://www.geonames.org/2942159",,,"Leisinger, Ulrich, Hrsg., 2011. Johann Christoph Friedrich Bach: Briefe und Dokumente. Hildesheim, Olms. Leipziger Beiträge zur Bach-Forschung. 9. ISBN 978-3-487-14337-8",,,,,
