key,sender,senderID,senderPlace,senderPlaceID,senderDate,addressee,addresseeID,addresseePlace,addresseePlaceID,addresseeDate,notes,edition,page,source,sourceID,provenance,extent
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Leipzig,http://www.geonames.org/2879139,1733-06-07,Rat der Stadt Dresden,http://d-nb.info/gnd/4012995-0,Dresden,http://www.geonames.org/2935022,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",81–83,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Leipzig,http://www.geonames.org/2879139,1733-06-07,Paul Christian Schröter,http://d-nb.info/gnd/135970180,Dresden,http://www.geonames.org/2935022,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",84–85,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Dresden,http://www.geonames.org/2935022,1733-08-01,Rat der Stadt Dresden,http://d-nb.info/gnd/4012995-0,Dresden,http://www.geonames.org/2935022,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",85–86,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Dresden,http://www.geonames.org/2935022,1746-04-16,Rat der Stadt Dresden,http://d-nb.info/gnd/4012995-0,Dresden,http://www.geonames.org/2935022,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",86–87,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1749-12-01,[Johann Lucas Thering],http://d-nb.info/gnd/14025577X,[Frankfurt (Oder)],http://www.geonames.org/2925535,,nur abschriftlich erhalten,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",88,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1761-10-20,Kirchenkollegium der Marienkirche in Halle,,Halle,http://www.geonames.org/2911522,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",89–90,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1764-05-12,Kirchenkollegium der Marienkirche in Halle,,Halle,http://www.geonames.org/2911522,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",91,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1764-06-30,,,,,,,,,"D-B Mus.ep. Bach, W. F. 3",DE-611-HS-1717410,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1767-07-29,Maria Antonie Walpurgis,,,,,,,,"D-Dl Mus.2990.O.1,2",DE-611-HS-2406136,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Halle,http://www.geonames.org/2911522,1768-02-22,Kirchenkollegium der Marienkirche in Halle,,Halle,http://www.geonames.org/2911522,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",91–92,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Braunschweig,http://www.geonames.org/2945024,1771-05-17,Herzog Leopold,http://d-nb.info/gnd/119303108,Braunschweig,http://www.geonames.org/2945024,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",92,,,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Berlin,http://www.geonames.org/2950159,1775-02-01,[Johann Nikolaus Forkel],http://d-nb.info/gnd/118809962,[Göttingen],http://www.geonames.org/2918632,,,,,"D-B Mus.ep. Bach, W. F. 1",DE-611-HS-1717411,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Berlin,http://www.geonames.org/2950159,1778-03-16,[Johann Nikolaus Forkel],http://d-nb.info/gnd/118809962,[Göttingen],http://www.geonames.org/2918632,,,,,"D-B Mus.ep. Bach, W. F. 2",DE-611-HS-1717412,,
,Wilhelm Friedemann Bach,http://d-nb.info/gnd/118505548,Berlin,http://www.geonames.org/2950159,1778-07-04,Johann Joachim Eschenburg,http://d-nb.info/gnd/118685414,Braunschweig,http://www.geonames.org/2945024,,,"Otterbach, Friedemann, Hrsg., 1985. Bach. Briefe der Musikerfamilie. Frankfurt am Main: Fischer. ISBN 978-3-596-22147-9",93,,,,
